Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
19.7297,-155.09,90.28,73,75,8.05
3.3333,20.8833,72.21,95,96,2.1
-21.2078,-159.775,77.05,69,7,14.97
-20.0064,57.6608,66.38,72,93,11.01
-20.2078,57.7625,66.09,72,95,20.27
34.37,73.4711,77.94,84,1,2.8
53.7333,119.7667,52.43,96,100,3.15
-9.8,-139.0333,77.4,75,12,23.0
68.75,161.3,64.2,57,0,1.66
-22.9661,-42.0278,68.02,80,98,19.39
-34.5833,150.8552,59.38,79,91,5.01
36.8525,-121.4016,94.08,39,0,19.57
-6.3164,155.4848,76.42,78,95,2.55
50.2001,-66.3821,62.06,89,1,5.01
22.0752,-159.319,84.18,69,20,16.11
27.9769,-114.0611,77.76,63,81,14.81
-7.9333,-14.4167,76.33,76,86,16.71
-46.6,168.3333,44.8,62,61,8.68
-35.0169,117.8917,52.23,93,75,5.75
-0.9045,-89.6174,70.66,80,77,12.1
31.4229,-103.4932,96.89,26,0,14.97
54.7804,-127.1743,88.54,22,0,0.85
18.7369,7.3853,94.91,28,24,9.82
57.0531,-135.33,60.69,77,100,4.61
-9.6567,120.2641,76.21,79,45,5.57
47.6666,-52.7314,58.57,88,100,8.01
-23.1203,-134.9692,73.26,72,93,21.56
-26.6633,28.5902,50.18,30,0,2.19
-42.8794,147.3294,47.05,81,0,6.91
-54.8,-68.3,37.06,93,100,16.11
77.484,-69.3632,37.81,64,93,2.82
-7.0219,-45.4811,80.64,23,7,3.4
62.456,-114.3525,73.15,45,100,12.59
-17.5333,146.0333,70.92,75,65,8.48
50.6789,156.125,57.72,87,42,9.89
-20.4431,-53.7592,54.23,73,13,11.7
24.7994,-107.3897,88.65,66,100,6.91
31.6,131.3667,82.94,81,71,1.23
-53.15,-70.9167,41.11,81,0,6.91
-42.7826,147.0587,46.71,78,29,2.62
-33.65,115.3333,52.16,82,71,5.01
60.3964,-1.353,54.5,94,100,14.94
70.6333,147.9167,66.83,50,75,11.3
11.6667,92.75,80.98,81,100,12.46
-33.918,25.5701,55.31,94,85,1.99
61.9875,5.1352,57.87,93,100,29.19
-21.2,-175.2,78.96,94,100,13.8
-45.5752,-72.0662,43.41,81,40,4.61
11.1833,-60.7333,82.45,74,82,11.7
-0.7393,-90.3518,70.56,90,82,7.0
21.3906,-158.1547,89.55,51,40,8.05
48.0056,91.6419,67.77,38,100,4.9
0.3925,9.4537,75.76,81,82,8.86
13.2167,-59.5167,79.41,89,40,5.75
35.6003,103.2064,68.76,86,98,3.49
72.7868,-56.1549,41.29,85,96,8.72
-0.7193,8.7815,75.16,83,75,8.05
-34.4187,19.2345,54.81,89,84,6.87
63.7898,74.523,48.9,69,54,7.18
-34.5322,20.0403,52.41,94,88,3.2
-14.6585,17.691,54.43,26,0,3.67
32.1272,115.0394,83.07,74,79,6.91
